created_at,entry_id,Temperature,PH,Turbidity,Flow,TDS,Pressure,Volume,Colar
2022-02-11 07:05:34 UTC,148,24.06,6.9,1748.63,1,1286.74,508.65,4.14,77
2022-02-11 07:05:56 UTC,149,24.06,6.87,1888.3,1,1286.74,508.79,4.12,76
2022-02-11 07:06:32 UTC,150,24.06,6.89,1151.57,1,0,509.33,4.12,84
2022-02-11 07:06:53 UTC,151,24.06,6.89,1748.63,1,0,509.24,4.11,83
2022-02-11 07:07:11 UTC,152,24.06,6.88,1675.71,1,0,509.38,11.89,80
2022-02-11 07:07:30 UTC,153,24.06,6.83,1600.73,1,0,509.9,11.9,78
2022-02-11 07:07:48 UTC,154,24.06,6.82,1562.47,0,0,509.92,11.9,76
2022-02-11 07:08:08 UTC,155,24.06,6.79,1523.69,0,0,509.92,4.11,78
2022-02-11 07:08:26 UTC,156,24.06,6.76,1444.6,0,0,510,11.89,71
2022-02-11 07:08:45 UTC,157,24,6.79,1363.45,0,0,509.88,11.9,75
2022-02-05 11:09:03 UTC,158,24.06,6.81,1363.45,0,1117.03,509.79,4.12,73
2022-02-11 07:09:22 UTC,159,24,6.8,1363.45,3,1183.28,510.25,11.89,76
2022-02-11 07:09:41 UTC,160,24,6.79,1322.1,3,1192.63,509.54,11.9,74
2022-02-11 07:09:59 UTC,161,24,6.82,1280.24,3,1250.19,509.42,4.13,77
2022-02-11 07:10:17 UTC,162,24,6.79,1280.24,3,1283.26,508.92,11.9,78
2022-02-11 07:10:36 UTC,163,24,6.77,1921.93,3,1293.33,509.59,11.9,132
2022-02-11 07:10:55 UTC,164,24,6.82,1638.48,3,1300.08,510.15,11.89,74
2022-02-11 07:11:13 UTC,165,24,6.82,1523.69,3,1327.42,510.21,4.13,72
2022-02-11 07:11:33 UTC,166,24,6.82,1523.69,3,1306.87,509.87,4.13,74
2022-02-11 07:11:51 UTC,167,24,6.78,1523.69,3,1320.54,510.06,11.9,73
2022-02-12 08:55:48 UTC,407,24.94,7.26,3000,2,663.44,531.19,2.4,6565
2022-02-12 08:56:20 UTC,408,24.94,7.39,3000,2,672.44,526.14,2.47,6637
2022-02-12 08:56:37 UTC,409,24.94,7.49,3000,2,672.44,523.65,2.52,6644
2022-02-12 08:57:05 UTC,410,25,7.49,3000,2,680.36,568.68,1.63,6703
2022-02-12 09:02:17 UTC,422,25.19,7.4,3000,3,695.13,561.46,1.8,6702
2022-02-12 09:02:44 UTC,423,25.19,7.37,3000,3,695.13,554.08,1.95,6978
2022-02-12 09:03:14 UTC,424,25.19,7.54,3000,3,695.13,547.47,2.07,7180
2022-02-12 09:03:31 UTC,425,25.19,7.52,3000,3,693.28,544.53,2.1,7065
2022-02-12 09:04:00 UTC,426,25.19,7.58,3000,3,691.43,537.74,2.26,7060
2022-02-12 09:04:16 UTC,427,25.19,7.61,3000,2,689.58,534.64,2.32,7092
2022-02-12 09:04:33 UTC,428,25.19,7.63,3000,2,689.58,531.51,2.39,7200
2022-02-12 09:04:52 UTC,429,25.12,7.59,3000,2,690.8,528.44,2.44,7220
2022-02-12 09:05:08 UTC,430,25.12,7.69,3000,2,690.8,525.57,2.47,7342
2022-02-12 09:06:03 UTC,431,25.19,7.95,3000,0,684.07,585.77,1.3,7998
2022-02-12 09:06:22 UTC,432,25.25,8.06,3000,1,682.87,581.47,1.38,7058
2022-02-12 09:06:37 UTC,433,25.25,8.06,3000,0,682.87,576.95,1.46,7119
